,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
1259,23:00 - 00:00,124.85,-0.23,125.08,125.23,124.74,18549.0,N.A.
1261,00:00 - 01:00,124.54,-0.31,124.85,124.88,124.28,19486.0,N.A.
1262,01:00 - 02:00,124.8,0.26,124.54,124.86,124.53,16466.0,N.A.
1263,02:00 - 03:00,124.61,-0.19,124.8,124.81,124.3,22850.0,N.A.
1264,03:00 - 04:00,124.76,0.15,124.61,124.82,124.53,22448.0,N.A.
1265,04:00 - 05:00,124.5,-0.26,124.76,124.91,124.35,23098.0,N.A.
1266,05:00 - 06:00,124.93,0.43,124.5,125.06,124.49,25197.0,N.A.
1267,06:00 - 07:00,125.13,0.2,124.93,125.34,124.88,25523.0,N.A.
1268,07:00 - 08:00,125.46,0.33,125.13,125.51,125.03,26429.0,N.A.
1269,08:00 - 09:00,125.36,-0.1,125.46,125.53,125.07,27956.0,N.A.
1270,09:00 - 10:00,125.23,-0.13,125.36,125.46,125.06,26661.0,N.A.
1271,10:00 - 11:00,125.32,0.09,125.23,125.56,125.17,27828.0,N.A.
1272,11:00 - 12:00,124.86,-0.46,125.32,125.47,124.69,26714.0,N.A.
1273,12:00 - 13:00,124.41,-0.45,124.86,124.96,124.1,28594.0,N.A.
1274,13:00 - 14:00,124.63,0.22,124.41,124.86,124.4,21627.0,N.A.
1275,14:00 - 15:00,124.5,-0.13,124.63,124.77,124.12,24598.0,N.A.
1276,15:00 - 16:00,124.89,0.39,124.5,125.25,124.49,24203.0,N.A.
1277,16:00 - 17:00,124.86,-0.03,124.89,125.14,124.81,15989.0,N.A.
1278,17:00 - 18:00,124.96,0.1,124.87,125.03,124.7,8391.0,N.A.
1279,18:00 - 19:00,124.93,-0.03,124.96,125.09,124.91,11436.0,N.A.
1280,19:00 - 20:00,124.53,-0.4,124.93,124.98,124.48,14444.0,N.A.
1281,20:00 - 21:00,124.82,0.29,124.53,124.86,124.28,21479.0,N.A.
1282,21:00 - 22:00,124.35,-0.47,124.82,124.82,124.27,22419.0,N.A.
1283,22:00 - 23:00,124.17,-0.18,124.35,124.44,124.06,17273.0,N.A.
1284,23:00 - 00:00,123.45,-0.72,124.17,124.17,123.41,23960.0,N.A.
1286,00:00 - 01:00,123.53,0.08,123.45,123.7,123.38,21379.0,N.A.
1287,01:00 - 02:00,123.71,0.18,123.53,123.81,123.48,19060.0,N.A.
1288,02:00 - 03:00,123.13,-0.58,123.71,123.71,123.1,23564.0,N.A.
1289,03:00 - 04:00,122.87,-0.26,123.13,123.23,122.59,26103.0,N.A.
1290,04:00 - 05:00,122.26,-0.61,122.87,122.95,122.13,29704.0,N.A.
1291,05:00 - 06:00,122.91,0.65,122.26,123.02,122.15,28508.0,N.A.
1292,06:00 - 07:00,123.07,0.16,122.91,123.22,122.72,24274.0,N.A.
1293,07:00 - 08:00,123.61,0.54,123.07,123.68,122.95,25786.0,N.A.
1294,08:00 - 09:00,124.2,0.59,123.61,124.33,123.44,28508.0,N.A.
1295,09:00 - 10:00,124.4,0.2,124.2,124.86,123.99,35767.0,N.A.
1296,10:00 - 11:00,125.06,0.66,124.4,125.58,124.39,34374.0,N.A.
1297,11:00 - 12:00,125.27,0.21,125.06,125.5,124.91,28525.0,N.A.
1298,12:00 - 13:00,125.64,0.37,125.27,125.88,125.25,24876.0,N.A.
1299,13:00 - 14:00,125.58,-0.06,125.64,125.77,125.31,24095.0,N.A.
1300,14:00 - 15:00,126.08,0.5,125.58,126.17,125.43,21934.0,N.A.
1301,15:00 - 16:00,126.18,0.1,126.08,126.39,125.93,23297.0,N.A.
1302,16:00 - 17:00,126.16,-0.02,126.18,126.39,126.05,15671.0,N.A.
1303,17:00 - 18:00,125.77,-0.39,126.16,126.34,125.74,9336.0,N.A.
1304,18:00 - 19:00,125.89,0.12,125.77,126.13,125.76,13520.0,N.A.
1305,19:00 - 20:00,125.52,-0.37,125.89,126.11,125.48,16304.0,N.A.
1306,20:00 - 21:00,126.12,0.6,125.52,126.13,125.45,24372.0,N.A.
1307,21:00 - 22:00,126.39,0.27,126.12,126.58,126.01,24220.0,N.A.
1308,22:00 - 23:00,126.23,-0.16,126.39,126.5,126.02,19091.0,N.A.
1309,23:00 - 00:00,126.23,0.0,126.23,126.38,126.14,14949.0,N.A.
1311,00:00 - 01:00,126.22,-0.01,126.23,126.26,125.75,18540.0,N.A.
1312,01:00 - 02:00,126.11,-0.11,126.22,126.27,125.99,19041.0,N.A.
