,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
265,20:00 - 21:00,1.5159,0.0004,1.5155,1.5163,1.515,44027.0,N.A.
266,21:00 - 22:00,1.5161,0.0002,1.5159,1.5169,1.5154,41336.0,N.A.
267,22:00 - 23:00,1.5164,0.0003,1.5161,1.5167,1.5157,38713.0,N.A.
268,23:00 - 00:00,1.5169,0.0005,1.5164,1.517,1.5161,40202.0,N.A.
270,00:00 - 01:00,1.5169,0.0,1.5169,1.5172,1.5164,43260.0,N.A.
271,01:00 - 02:00,1.517,0.0001,1.5169,1.517,1.516,42134.0,N.A.
272,02:00 - 03:00,1.515,-0.002,1.517,1.5176,1.5141,91926.0,N.A.
273,03:00 - 04:00,1.5137,-0.0013,1.515,1.5157,1.5137,104128.0,N.A.
274,04:00 - 05:00,1.5159,0.0022,1.5137,1.5168,1.5137,112370.0,N.A.
275,05:00 - 06:00,1.5137,-0.0022,1.5159,1.5169,1.5132,97866.0,N.A.
276,06:00 - 07:00,1.5156,0.0019,1.5137,1.5167,1.5136,82230.0,N.A.
277,07:00 - 08:00,1.5153,-0.0003,1.5156,1.516,1.5142,79293.0,N.A.
278,08:00 - 09:00,1.5165,0.0012,1.5153,1.5165,1.515,129064.0,N.A.
279,09:00 - 10:00,1.5141,-0.0024,1.5165,1.5184,1.5138,105294.0,N.A.
280,10:00 - 11:00,1.5049,-0.0092,1.5141,1.5141,1.5034,129913.0,N.A.
281,11:00 - 12:00,1.5043,-0.0006,1.5049,1.5063,1.5042,122884.0,N.A.
282,12:00 - 13:00,1.5055,0.0012,1.5044,1.5067,1.5044,78064.0,N.A.
283,13:00 - 14:00,1.5047,-0.0008,1.5055,1.5067,1.5047,61604.0,N.A.
284,14:00 - 15:00,1.5043,-0.0004,1.5047,1.5053,1.5041,50566.0,N.A.
285,15:00 - 16:00,1.5036,-0.0007,1.5043,1.5045,1.5030000000000001,55476.0,N.A.
286,16:00 - 17:00,1.5039,0.0003,1.5036,1.5044,1.5030000000000001,50166.0,N.A.
287,17:00 - 18:00,1.5038,-0.0001,1.5039,1.504,1.5033,44396.0,N.A.
288,18:00 - 19:00,1.5044,0.0006,1.5038,1.5045,1.5036,39074.0,N.A.
289,19:00 - 20:00,1.5043,-0.0001,1.5044,1.5048,1.5035,43027.0,N.A.
290,20:00 - 21:00,1.5045,0.0002,1.5043,1.505,1.5041,46007.0,N.A.
291,21:00 - 22:00,1.5053,0.0008,1.5045,1.5054,1.5044,42734.0,N.A.
292,22:00 - 23:00,1.5054,0.0001,1.5053,1.5058,1.5053,31877.0,N.A.
293,23:00 - 00:00,1.5047,-0.0007,1.5054,1.5054,1.5046,41104.0,N.A.
295,00:00 - 01:00,1.505,0.0003,1.5047,1.5052,1.5045,37078.0,N.A.
296,01:00 - 02:00,1.5049,-0.0001,1.505,1.5051,1.5045,35630.0,N.A.
297,02:00 - 03:00,1.5052,0.0003,1.5049,1.5056,1.504,69628.0,N.A.
298,03:00 - 04:00,1.5019,-0.0033,1.5052,1.5052,1.5012,83563.0,N.A.
299,04:00 - 05:00,1.5021,0.0002,1.5019,1.5030000000000001,1.499,115598.0,N.A.
300,05:00 - 06:00,1.5022,0.0001,1.5021,1.5029,1.4991,78674.0,N.A.
301,06:00 - 07:00,1.5026,0.0004,1.5022,1.5037,1.5008,71725.0,N.A.
302,07:00 - 08:00,1.5,-0.0026,1.5026,1.5027,1.4997,85172.0,N.A.
303,08:00 - 09:00,1.5024,0.0024,1.5,1.5033,1.4997,97605.0,N.A.
304,09:00 - 10:00,1.5023,-0.0001,1.5024,1.505,1.5023,113567.0,N.A.
305,10:00 - 11:00,1.5006,-0.0017,1.5023,1.5025,1.4998,102007.0,N.A.
