Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
13:00 - 14:00,1.5165,-0.0003,1.5168,1.5172,1.5153,57706,N.A.
14:00 - 15:00,1.5156,-0.0009,1.5165,1.5166,1.5154,53831,N.A.
15:00 - 16:00,1.5161,0.0005,1.5156,1.5161,1.5151,51881,N.A.
16:00 - 17:00,1.516,-0.0001,1.5161,1.5161,1.5154,44040,N.A.
17:00 - 18:00,1.5156,-0.0004,1.516,1.5163,1.5155,44377,N.A.
18:00 - 19:00,1.516,0.0004,1.5156,1.5161,1.5156,56140,N.A.
19:00 - 20:00,1.5153,-0.0007,1.516,1.516,1.5148,48635,N.A.
20:00 - 21:00,1.5146,-0.0007,1.5153,1.5155,1.5141,45490,N.A.
21:00 - 22:00,1.5137,-0.0009,1.5146,1.5146,1.5136,40425,N.A.
22:00 - 23:00,1.5142,0.0005,1.5137,1.5142,1.5134,31462,N.A.
23:00 - 00:00,1.5141,-0.0001,1.5142,1.5143,1.5138,29788,N.A.
11DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5133,-0.0008,1.5141,1.5143,1.5132,33392,N.A.
01:00 - 02:00,1.5141,0.0008,1.5133,1.5143,1.5133,36942,N.A.
02:00 - 03:00,1.515,0.0009,1.5141,1.5157,1.5139,54079,N.A.
03:00 - 04:00,1.5164,0.0014,1.515,1.5168,1.5146,77850,N.A.
04:00 - 05:00,1.5136,-0.0028,1.5164,1.5167,1.5136,82780,N.A.
05:00 - 06:00,1.5156,0.002,1.5136,1.5162,1.5126,78585,N.A.
06:00 - 07:00,1.515,-0.0006,1.5156,1.5156,1.5127,78715,N.A.
07:00 - 08:00,1.5164,0.0014,1.515,1.5174,1.5144,75459,N.A.
08:00 - 09:00,1.5165,0.0001,1.5164,1.5171,1.515,83001,N.A.
09:00 - 10:00,1.5219,0.0054,1.5165,1.523,1.5165,146535,N.A.
10:00 - 11:00,1.5212,-0.0007,1.5219,1.5224,1.52,117304,N.A.
11:00 - 12:00,1.5211,-0.0001,1.5212,1.522,1.5203,97178,N.A.
12:00 - 13:00,1.5216,0.0005,1.5211,1.5226,1.5204,78464,N.A.
13:00 - 14:00,1.5219,0.0003,1.5216,1.5223,1.5212,66900,N.A.
14:00 - 15:00,1.5229,0.001,1.5219,1.524,1.5218,64970,N.A.
15:00 - 16:00,1.5226,-0.0003,1.5229,1.523,1.522,52938,N.A.
16:00 - 17:00,1.5213,-0.0013,1.5226,1.5238,1.5213,54064,N.A.
13DEC2015_00:00:00.000,,,,,,,
13:00 - 14:00,1.5217,0.0004,1.522,1.5242,1.5188,3240,N.A.
14:00 - 15:00,1.522,0.0003,1.5217,1.5232,1.5204,3609,N.A.
15:00 - 16:00,1.5225,0.0005,1.522,1.5231,1.5219,3684,N.A.
16:00 - 17:00,1.5232,0.0007,1.5225,1.5236,1.5222,8098,N.A.
17:00 - 18:00,1.5192,-0.004,1.5232,1.5233,1.519,28950,N.A.
18:00 - 19:00,1.5196,0.0004,1.5192,1.52,1.518,48381,N.A.
19:00 - 20:00,1.5199,0.0003,1.5196,1.52,1.5187,49295,N.A.
20:00 - 21:00,1.5199,0,1.5199,1.5205,1.5196,49102,N.A.
21:00 - 22:00,1.5191,-0.0008,1.5199,1.5201,1.5182,47797,N.A.
22:00 - 23:00,1.5189,-0.0002,1.5191,1.5193,1.5186,38845,N.A.
23:00 - 00:00,1.5196,0.0007,1.5189,1.5198,1.5183,42420,N.A.
14DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5197,0.0001,1.5196,1.5199,1.5191,37189,N.A.
01:00 - 02:00,1.5193,-0.0004,1.5197,1.5198,1.5189,39715,N.A.
02:00 - 03:00,1.5178,-0.0015,1.5193,1.5199,1.5178,71980,N.A.
03:00 - 04:00,1.5151,-0.0027,1.5179,1.5183,1.5144,89791,N.A.
04:00 - 05:00,1.5169,0.0018,1.5151,1.5175,1.515,75179,N.A.
05:00 - 06:00,1.5157,-0.0012,1.5169,1.5179,1.5157,62609,N.A.
06:00 - 07:00,1.512,-0.0037,1.5157,1.5159,1.5119,86384,N.A.
07:00 - 08:00,1.5109,-0.0011,1.512,1.5136,1.5109,79048,N.A.
08:00 - 09:00,1.514,0.0031,1.5109,1.514,1.5108,101495,N.A.
09:00 - 10:00,1.5138,-0.0002,1.514,1.5146,1.513,109222,N.A.
10:00 - 11:00,1.5116,-0.0022,1.5138,1.5155,1.5115,112686,N.A.
11:00 - 12:00,1.5129,0.0013,1.5116,1.5145,1.5115,96024,N.A.
12:00 - 13:00,1.5143,0.0014,1.5129,1.5149,1.5128,74306,N.A.
13:00 - 14:00,1.5144,0.0001,1.5143,1.5146,1.5133,53234,N.A.
14:00 - 15:00,1.514,-0.0004,1.5144,1.5158,1.514,58702,N.A.
15:00 - 16:00,1.5134,-0.0006,1.514,1.5141,1.5129,54010,N.A.
16:00 - 17:00,1.5142,0.0008,1.5134,1.5144,1.5133,41901,N.A.
