Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
17:00 - 18:00,121.51,0.16,121.35,121.63,121.33,7039,N.A.
18:00 - 19:00,121.84,0.33,121.51,122.17,121.49,14533,N.A.
19:00 - 20:00,121.24,-0.6,121.84,122.03,121.17,16200,N.A.
20:00 - 21:00,121.27,0.03,121.24,121.37,120.74,16184,N.A.
21:00 - 22:00,121.48,0.21,121.27,121.5,121.27,11921,N.A.
22:00 - 23:00,121.46,-0.02,121.48,121.79,121.39,16323,N.A.
23:00 - 00:00,121.34,-0.12,121.46,121.56,121.27,14599,N.A.
19JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,121.23,-0.11,121.34,121.39,120.94,14754,N.A.
01:00 - 02:00,121.01,-0.22,121.23,121.39,120.98,18605,N.A.
02:00 - 03:00,120.48,-0.53,121.01,121.04,120.03,26757,N.A.
03:00 - 04:00,120.5,0.02,120.48,120.88,120.17,27105,N.A.
04:00 - 05:00,120.21,-0.29,120.5,120.66,120.01,23635,N.A.
05:00 - 06:00,120.24,0.03,120.21,120.51,120.03,20522,N.A.
06:00 - 07:00,119.94,-0.3,120.24,120.34,119.81,22599,N.A.
07:00 - 08:00,119.56,-0.38,119.95,120.06,119.47,20208,N.A.
08:00 - 09:00,119.31,-0.25,119.56,119.56,118.85,26914,N.A.
09:00 - 10:00,118.58,-0.73,119.31,119.32,118.5,27368,N.A.
10:00 - 11:00,118.87,0.29,118.58,119.14,118.53,22427,N.A.
11:00 - 12:00,118.85,-0.02,118.87,119.01,118.57,21834,N.A.
12:00 - 13:00,118.92,0.07,118.85,118.98,118.83,12332,N.A.
13:00 - 14:00,119.13,0.21,118.92,119.24,118.86,11092,N.A.
14:00 - 15:00,118.97,-0.16,119.12,119.18,118.94,7482,N.A.
15:00 - 16:00,118.87,-0.1,118.97,118.98,118.75,8684,N.A.
16:00 - 17:00,118.47,-0.4,118.87,118.92,118.47,10122,N.A.
17:00 - 18:00,118.31,-0.16,118.47,118.51,118.25,9117,N.A.
18:00 - 19:00,118.68,0.37,118.31,118.82,118.22,12882,N.A.
19:00 - 20:00,117.6,-1.08,118.68,118.71,117.44,23144,N.A.
20:00 - 21:00,117.8,0.2,117.6,117.89,117.5,16918,N.A.
21:00 - 22:00,117.73,-0.07,117.8,117.94,117.68,13377,N.A.
22:00 - 23:00,117.66,-0.07,117.73,117.78,117.48,12984,N.A.
