Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
08:00 - 09:00,118.87,-0.32,119.19,119.21,118.78,87818,N.A.
09:00 - 10:00,118.36,-0.51,118.87,118.92,118.25,109843,N.A.
10:00 - 11:00,118.65,0.29,118.36,118.66,118.22,112660,N.A.
11:00 - 12:00,118.33,-0.32,118.65,118.69,118.28,107852,N.A.
12:00 - 13:00,118.3,-0.03,118.33,118.42,118.19,76520,N.A.
13:00 - 14:00,118.28,-0.02,118.3,118.32,118.13,69098,N.A.
14:00 - 15:00,118.34,0.06,118.28,118.37,118.23,57782,N.A.
15:00 - 16:00,118.33,-0.01,118.34,118.39,118.24,57218,N.A.
16:00 - 17:00,118.35,0.02,118.33,118.38,118.27,42906,N.A.
17:00 - 18:00,118.36,0.01,118.35,118.41,118.3,45061,N.A.
18:00 - 19:00,118.34,-0.02,118.36,118.48,118.31,48250,N.A.
19:00 - 20:00,117.83,-0.51,118.34,118.34,117.81,107489,N.A.
20:00 - 21:00,117.85,0.02,117.83,117.99,117.74,81652,N.A.
21:00 - 22:00,117.96,0.11,117.85,118.05,117.79,60808,N.A.
22:00 - 23:00,117.98,0.02,117.96,117.99,117.81,50726,N.A.
23:00 - 00:00,118.36,0.38,117.98,118.38,117.93,84370,N.A.
13JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.67,0.31,118.36,118.7,118.26,69324,N.A.
01:00 - 02:00,118.67,0,118.66,118.85,118.57,66539,N.A.
02:00 - 03:00,118.24,-0.43,118.67,118.67,118.22,75375,N.A.
03:00 - 04:00,118.32,0.08,118.24,118.51,118.22,82533,N.A.
04:00 - 05:00,118.54,0.22,118.32,118.67,118.25,76238,N.A.
05:00 - 06:00,118.45,-0.09,118.54,118.69,118.43,69751,N.A.
06:00 - 07:00,118.62,0.17,118.45,118.67,118.41,68513,N.A.
07:00 - 08:00,118.47,-0.15,118.62,118.67,118.46,70619,N.A.
08:00 - 09:00,118.46,-0.01,118.47,118.53,118.35,81900,N.A.
09:00 - 10:00,118.64,0.18,118.46,118.77,118.45,96930,N.A.
10:00 - 11:00,118.5,-0.14,118.64,118.68,118.39,93492,N.A.
11:00 - 12:00,118.17,-0.33,118.5,118.53,118.12,112226,N.A.
12:00 - 13:00,117.95,-0.22,118.17,118.21,117.86,88426,N.A.
13:00 - 14:00,117.7,-0.25,117.95,118.1,117.6,95349,N.A.
14:00 - 15:00,117.71,0.01,117.7,117.85,117.54,94102,N.A.
15:00 - 16:00,117.83,0.12,117.71,117.95,117.69,97183,N.A.
16:00 - 17:00,117.93,0.1,117.83,117.94,117.81,44121,N.A.
17:00 - 18:00,117.9,-0.03,117.93,117.96,117.84,42608,N.A.
18:00 - 19:00,117.82,-0.08,117.9,117.94,117.69,58833,N.A.
19:00 - 20:00,117.68,-0.14,117.82,117.93,117.49,117799,N.A.
20:00 - 21:00,117.56,-0.12,117.68,117.82,117.54,93657,N.A.
21:00 - 22:00,117.46,-0.1,117.56,117.65,117.41,93999,N.A.
22:00 - 23:00,117.5,0.04,117.46,117.51,117.33,76054,N.A.
23:00 - 00:00,117.27,-0.23,117.5,117.55,117.26,73638,N.A.
14JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,117.12,-0.15,117.27,117.28,117,71269,N.A.
01:00 - 02:00,116.94,-0.18,117.12,117.17,116.75,75784,N.A.
02:00 - 03:00,117.08,0.14,116.94,117.25,116.93,89644,N.A.
03:00 - 04:00,116.68,-0.4,117.09,117.09,116.59,114987,N.A.
04:00 - 05:00,117.02,0.34,116.68,117.05,116.54,105254,N.A.
05:00 - 06:00,117,-0.02,117.02,117.17,116.9,93202,N.A.
06:00 - 07:00,116.87,-0.13,117,117.12,116.8,97793,N.A.
07:00 - 08:00,116.88,0.01,116.87,117.04,116.84,99299,N.A.
08:00 - 09:00,116.32,-0.56,116.88,116.9,116.07,180595,N.A.
09:00 - 10:00,116.61,0.29,116.32,116.7,116.21,181549,N.A.
10:00 - 11:00,116.92,0.31,116.61,116.92,116.47,175068,N.A.
11:00 - 12:00,116.78,-0.14,116.92,116.93,116.7,104522,N.A.
12:00 - 13:00,117.04,0.26,116.78,117.1,116.69,89957,N.A.
13:00 - 14:00,116.98,-0.06,117.04,117.15,116.86,84902,N.A.
14:00 - 15:00,117.27,0.29,116.98,117.39,116.96,89771,N.A.
15:00 - 16:00,117.27,0,117.27,117.44,117.25,105991,N.A.
16:00 - 17:00,117.33,0.06,117.27,117.39,117.26,48971,N.A.
17:00 - 18:00,117.26,-0.07,117.33,117.34,117.13,47648,N.A.
18:00 - 19:00,117.43,0.17,117.26,117.47,117.21,58593,N.A.
19:00 - 20:00,117.67,0.24,117.43,117.7,117.43,94248,N.A.
20:00 - 21:00,117.7,0.03,117.67,117.76,117.6,79986,N.A.
21:00 - 22:00,117.74,0.04,117.7,117.84,117.67,72202,N.A.
22:00 - 23:00,117.71,-0.03,117.74,117.76,117.57,57862,N.A.
23:00 - 00:00,117.7,-0.01,117.71,117.73,117.6,51593,N.A.
15JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,117.77,0.07,117.7,117.8,117.7,64798,N.A.
01:00 - 02:00,117.73,-0.04,117.77,117.94,117.69,58579,N.A.
02:00 - 03:00,117.67,-0.06,117.73,117.78,117.58,81080,N.A.
03:00 - 04:00,117.59,-0.08,117.67,117.8,117.54,96078,N.A.
04:00 - 05:00,116.98,-0.61,117.59,117.6,116.63,240384,N.A.
05:00 - 06:00,116.77,-0.21,116.98,117.03,116.65,247232,N.A.
06:00 - 07:00,116.54,-0.23,116.76,116.78,116.28,153152,N.A.
07:00 - 08:00,116.5,-0.04,116.54,116.88,116.4,140413,N.A.
08:00 - 09:00,116.93,0.43,116.5,116.94,116.24,140320,N.A.
09:00 - 10:00,116.75,-0.18,116.93,117.25,116.74,152745,N.A.
10:00 - 11:00,116.87,0.12,116.75,117.2,116.61,159289,N.A.
11:00 - 12:00,116.95,0.08,116.87,117.11,116.82,144010,N.A.
12:00 - 13:00,116.71,-0.24,116.95,117,116.48,135043,N.A.
13:00 - 14:00,116.43,-0.28,116.71,116.72,116.35,127998,N.A.
14:00 - 15:00,116.52,0.09,116.43,116.63,116.38,99423,N.A.
15:00 - 16:00,116.31,-0.21,116.52,116.56,116.27,74652,N.A.
